gender,ssc_p,hsc_p,degree_p,degree_t,work_exp,etest_p,coding_score,soft_skills_score,internships,projects_count,status,salary
M,57.2,69.7,64.9,Sci&Tech,No,80.6,65.7,60.1,0,2,Not Placed,0.0
F,61.3,59.4,73.1,Sci&Tech,Yes,49.4,71.0,59.4,1,1,Not Placed,0.0
F,85.2,68.0,83.0,Sci&Tech,Yes,67.5,54.1,81.9,1,2,Placed,9.2
F,64.8,61.1,66.1,Sci&Tech,Yes,77.2,53.8,80.4,1,1,Placed,7.3
M,60.5,61.9,52.2,Sci&Tech,No,74.2,48.6,75.4,0,4,Not Placed,0.0
M,77.9,68.3,77.2,Sci&Tech,No,77.1,45.6,81.8,2,2,Not Placed,0.0
M,85.0,60.5,64.6,Sci&Tech,No,74.7,51.0,60.3,0,2,Not Placed,0.0
F,79.9,66.3,59.1,Sci&Tech,No,87.3,70.2,73.8,0,3,Not Placed,0.0
F,83.0,47.3,64.8,Sci&Tech,Yes,60.6,55.5,68.6,1,2,Not Placed,0.0
F,63.7,72.6,69.2,Comm&Mgmt,No,63.9,75.2,79.3,0,2,Placed,8.6
M,56.4,70.0,65.0,Sci&Tech,No,62.7,68.5,68.7,0,3,Not Placed,0.0
F,88.5,60.2,48.9,Comm&Mgmt,No,82.0,40.4,65.8,1,3,Not Placed,0.0
F,68.5,77.9,80.0,Comm&Mgmt,Yes,82.8,77.2,75.9,1,2,Placed,11.8
M,69.2,81.3,83.7,Sci&Tech,No,77.4,79.4,79.6,2,1,Placed,12.0
M,86.6,50.7,77.5,Comm&Mgmt,No,86.2,54.1,62.6,1,2,Placed,7.0
M,78.1,60.8,59.6,Others,Yes,57.9,73.9,69.3,0,3,Not Placed,0.0
M,77.0,60.8,69.0,Sci&Tech,Yes,92.0,56.0,58.4,0,1,Placed,6.7
M,95.8,58.7,70.9,Sci&Tech,No,90.3,69.4,42.5,3,1,Placed,10.6
M,64.9,80.0,77.0,Comm&Mgmt,No,80.8,50.3,72.2,1,3,Placed,6.1
M,82.2,67.7,77.7,Comm&Mgmt,Yes,93.4,42.9,76.7,1,1,Placed,6.6
F,72.6,66.8,63.7,Sci&Tech,No,52.1,62.6,72.9,0,3,Not Placed,0.0
M,75.0,46.0,71.8,Sci&Tech,Yes,65.7,66.3,48.6,1,2,Not Placed,0.0
M,88.8,77.6,75.6,Sci&Tech,No,63.2,62.4,66.1,0,2,Not Placed,0.0
M,77.6,55.1,85.6,Sci&Tech,No,80.7,51.4,45.6,1,1,Not Placed,0.0
M,77.9,70.7,78.0,Comm&Mgmt,No,59.4,62.4,85.1,3,3,Placed,10.2
F,83.8,73.3,78.9,Sci&Tech,No,81.1,71.8,58.1,3,2,Placed,11.6
M,68.0,86.3,71.8,Sci&Tech,No,88.4,67.4,83.8,1,2,Placed,9.0
M,62.8,54.3,85.1,Comm&Mgmt,Yes,80.3,70.6,80.4,1,2,Placed,11.8
F,60.5,45.0,75.1,Sci&Tech,No,75.4,58.6,60.1,3,3,Placed,8.8
M,50.4,72.2,62.4,Sci&Tech,No,60.1,84.4,57.5,1,4,Not Placed,0.0
F,94.6,91.6,85.0,Comm&Mgmt,No,61.8,51.5,73.9,0,2,Not Placed,0.0
