roll_number,department,cgpa,backlogs,internships,technical_skills,technical_skills_count,communication_score,ssc_percentage,hsc_percentage,placement_status,package_offered
EEE20210000,EEE,6.2,0,0,"Excel, SQL, AWS",3,7,80.2,84.1,Placed,10.7
IT20220001,IT,6.81,0,3,"Android, Communication, React, Data Structures",4,6,76.7,61.7,Placed,13.5
IT20230002,IT,7.46,0,0,Python,1,5,73.7,75,Placed,11.8
CIVIL20240003,CIVIL,7.05,0,0,"Java, React",2,4,65.3,82,Placed,10
ECE20210004,ECE,7.63,2,1,"Machine Learning, Java, C++, AWS, Flask",5,8,70.8,74,Placed,11.2
EEE20220005,EEE,7.5,0,0,"Data Structures, Excel, Python, AWS, JavaScript",5,4,86.3,83.1,Not Placed,
EEE20230006,EEE,7.22,0,1,JavaScript,1,5,84,72.1,Not Placed,
IT20240007,IT,6.42,0,3,Flask,1,6,61.8,66.5,Placed,12.3
CIVIL20210008,CIVIL,7.13,0,1,"SQL, Excel, AWS, Android",4,6,58,88.3,Not Placed,
CSE20220009,CSE,7.23,0,2,"React, Excel",2,4,69.2,68.9,Placed,13.7
EEE20230010,EEE,7.56,0,3,Android,1,3,79,84,Placed,11.1
ECE20240011,ECE,7.71,3,0,"Machine Learning, Java, Data Structures",3,6,76.9,57.6,Placed,9.5
CIVIL20210012,CIVIL,6.51,0,3,AWS,1,7,77.8,57.6,Placed,8.9
CIVIL20220013,CIVIL,7.09,3,3,"Flask, JavaScript, Android, C++, Data Structures",5,7,74.4,82,Placed,10.5
IT20230014,IT,6.28,1,1,"Communication, SQL, Android",3,4,89.1,83.1,Placed,9.8
ECE20240015,ECE,6.16,0,1,"Data Structures, JavaScript, Django, AWS, SQL",5,4,77.7,70.2,Not Placed,
EEE20210016,EEE,7.69,0,0,"AWS, JavaScript, React, Android",4,4,97.1,91.6,Placed,10.7
IT20220017,IT,8.7,2,1,"C++, AWS, Django, Java, Data Structures",5,5,76.4,77.4,Placed,16.1
CIVIL20230018,CIVIL,6.71,0,1,"Django, React",2,8,75.4,79.7,Placed,13
CSE20240019,CSE,6.09,1,2,"Data Structures, AWS, C++, React, JavaScript",5,8,81.6,64.7,Placed,12
ECE20210020,ECE,6.64,0,1,"Communication, React, Java, Django, Machine Learning",5,5,80.9,80.2,Placed,12.3
MECH20220021,MECH,7.02,0,1,"Java, Machine Learning, Flask, Data Structures",4,5,84.3,80.7,Not Placed,
EEE20230022,EEE,5.17,0,1,"Data Structures, Python, C++, SQL",4,3,74.4,85.8,Placed,8.5
IT20240023,IT,7.28,1,1,"Flask, Machine Learning, AWS",3,6,74,62.8,Not Placed,
EEE20210024,EEE,8.39,0,1,"Communication, Django, AWS",3,4,69.8,82.5,Not Placed,
EEE20220025,EEE,7.82,0,3,"Communication, Django, Excel, JavaScript, React",5,5,79.8,75.1,Placed,12.7
IT20230026,IT,7.39,3,2,"Communication, Machine Learning",2,10,71.5,67.4,Not Placed,
EEE20240027,EEE,6.66,0,0,"JavaScript, C++, AWS, Communication, SQL",5,9,64.2,76.3,Placed,13.1
ECE20210028,ECE,7.45,0,1,"Excel, Android, C++, Java",4,6,77.1,74.5,Placed,10.1
ECE20220029,ECE,7.07,0,0,"Flask, C++, Machine Learning",3,7,82,75,Placed,10.5
MECH20230030,MECH,8.54,0,0,"JavaScript, Excel, Communication",3,7,64.2,88,Placed,13.8
CSE20240031,CSE,7.07,0,1,"Java, Excel, JavaScript",3,6,81.2,85.1,Placed,9
IT20210032,IT,5.97,1,0,Data Structures,1,7,76.1,74.3,Not Placed,
CIVIL20220033,CIVIL,7.97,1,0,"C++, Communication",2,5,73.6,63.9,Placed,9
CSE20230034,CSE,7.38,1,0,Data Structures,1,8,79.8,75.7,Placed,9.4
CSE20240035,CSE,5.39,0,2,"Excel, Machine Learning, SQL",3,8,66.7,80.4,Placed,10.2
MECH20210036,MECH,6.45,3,0,JavaScript,1,7,77.3,77.1,Not Placed,
EEE20220037,EEE,7.45,0,1,"AWS, Django, Data Structures, Excel, JavaScript",5,5,75.5,61.3,Placed,13.2
IT20230038,IT,9.35,1,0,"Flask, React",2,5,81.6,80.8,Not Placed,
ECE20240039,ECE,6.66,0,0,"JavaScript, Flask",2,7,82.3,84.3,Not Placed,
CSE20210040,CSE,7.49,0,1,"Excel, Flask, AWS",3,6,79.9,81.9,Placed,12.9
CSE20220041,CSE,7.85,0,1,"SQL, Excel, Java, Python",4,7,80.7,84.3,Placed,11.1
ECE20230042,ECE,8.74,0,2,"JavaScript, AWS",2,7,77.1,77.9,Placed,13.6
IT20240043,IT,7.81,0,0,Django,1,5,74,78.8,Placed,10.4
EEE20210044,EEE,7.94,0,0,"Java, Flask, AWS",3,6,75.3,90,Placed,10.3
IT20220045,IT,6.55,0,0,AWS,1,5,76.7,75,Not Placed,
ECE20230046,ECE,7.34,0,2,"Flask, JavaScript, Android",3,8,56.7,56.3,Placed,9.4
EEE20240047,EEE,8.3,0,0,Android,1,3,98.6,76.3,Placed,12.2
IT20210048,IT,6.92,0,0,"Communication, AWS",2,3,92.1,63.8,Not Placed,
